팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,모마,20,45,19,7,2,42.22,37.19,26,13,3,1,50.0,41.94,4,2,1,0,50.0,50.0,0,0,0,0,0.0,0.0,13,4,3,0,30.77,100.0,0,0,0,0,0.0,0.0,2,0,0,1,0.0,7.14,8,1,1,0.33,10.53,12,10,2,0,3.33,16.22,4,1,0,0.33,3.25,0,0,0,0.0,0.0,7,0,4,2,0,0.0,13.73,3,0,3,R,0.3508771929824561,1
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,강소휘,13,25,11,0,2,44.0,20.66,15,7,0,0,46.67,24.19,3,0,0,1,0.0,37.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,4,0,1,57.14,25.0,12,1,1,0.33,15.79,13,11,2,0,3.67,17.57,2,0,0,0.0,1.63,31,16,2,45.16,46.97,6,1,0,4,0,0.33,11.76,0,0,3,L,0.22807017543859648,1
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,유서연,12,27,12,2,1,44.44,22.31,13,6,1,1,46.15,20.97,1,0,1,0,0.0,12.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,6,0,0,46.15,46.43,12,0,3,0.0,15.79,15,14,1,0,4.67,20.27,2,0,0,0.0,1.63,13,7,1,46.15,19.7,7,0,5,1,0,0.0,13.73,0,0,4,L,0.21052631578947367,1
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,한수지,8,5,4,0,0,80.0,4.13,1,1,0,0,100.0,1.61,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,3,0,0,75.0,44.44,0,0,0,0,0.0,0.0,12,1,1,0.33,15.79,5,4,1,0,1.33,6.76,0,0,0,0.0,0.0,0,0,0,0.0,0.0,14,3,5,3,0,1.0,27.45,0,0,1,C,0.14035087719298245,1
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,김유리,2,5,2,0,0,40.0,4.13,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,100.0,0,0,0,0,0.0,0.0,4,2,0,0,50.0,44.44,0,0,0,0,0.0,0.0,8,0,2,0.0,10.53,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,6,0,3,2,0,0.0,11.76,1,0,2,C,0.03508771929824561,0
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,안혜진,2,1,0,0,0,0.0,0.83,1,0,0,0,0.0,1.61,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,21,2,1,0.67,27.63,7,6,1,0,2.0,9.46,100,46,1,15.33,81.3,0,0,0,0.0,0.0,6,0,3,1,0,0.0,11.76,0,0,2,S,0.03508771929824561,1
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,한다혜,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9,9,0,0,3.0,12.16,3,1,0,0.33,2.44,21,14,0,66.67,31.82,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
GS칼텍스,서울장충체육관,0,2021-10-16,3,0,1,한수진,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,11,8,3,0,2.67,14.86,1,0,0,0.0,0.81,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
흥국생명,서울장충체육관,0,2021-10-16,3,0,0,캣벨,21,48,17,3,5,35.42,46.6,30,9,3,3,30.0,56.6,2,1,0,0,50.0,100.0,0,0,0,0,0.0,0.0,9,3,0,2,33.33,64.29,0,0,0,0,0.0,0.0,7,4,0,0,57.14,26.92,11,2,0,0.67,15.94,14,12,1,1,4.0,20.0,3,0,0,0.0,2.73,0,0,0,0.0,0.0,8,2,1,2,1,0.67,15.38,0,0,7,R,0.42857142857142855,1
흥국생명,서울장충체육관,0,2021-10-16,3,0,0,김미연,9,21,8,0,1,38.1,20.39,11,4,0,0,36.36,20.75,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,0,0,1,0.0,21.43,0,0,0,0,0.0,0.0,7,4,0,0,57.14,26.92,18,1,1,0.33,26.09,14,10,4,0,3.33,20.0,11,2,0,0.67,10.0,16,6,1,31.25,24.24,8,0,3,4,0,0.0,15.38,2,0,2,L,0.1836734693877551,1
