팀명,경기날짜,이름,경기장,관중수,세트_점수
한국도로공사,2018-10-22,박정아,수원체육관,0,3
한국도로공사,2018-10-22,이바나,수원체육관,0,3
한국도로공사,2018-10-22,정대영,수원체육관,0,3
한국도로공사,2018-10-22,하혜진,수원체육관,0,3
한국도로공사,2018-10-22,문정원,수원체육관,0,3
한국도로공사,2018-10-22,정선아,수원체육관,0,3
한국도로공사,2018-10-22,전새얀,수원체육관,0,3
한국도로공사,2018-10-22,이효희,수원체육관,0,3
한국도로공사,2018-10-22,유서연,수원체육관,0,3
한국도로공사,2018-10-22,임명옥,수원체육관,0,3
IBK기업은행,2018-10-22,어나이,수원체육관,0,2
IBK기업은행,2018-10-22,고예림,수원체육관,0,2
IBK기업은행,2018-10-22,김희진,수원체육관,0,2
IBK기업은행,2018-10-22,김수지,수원체육관,0,2
IBK기업은행,2018-10-22,백목화,수원체육관,0,2
IBK기업은행,2018-10-22,변지수,수원체육관,0,2
IBK기업은행,2018-10-22,김해빈,수원체육관,0,2
IBK기업은행,2018-10-22,염혜선,수원체육관,0,2
IBK기업은행,2018-10-22,이나연,수원체육관,0,2
IBK기업은행,2018-10-22,한지현,수원체육관,0,2
GS칼텍스,2018-10-23,이소영,수원체육관,0,3
GS칼텍스,2018-10-23,강소휘,수원체육관,0,3
GS칼텍스,2018-10-23,알리,수원체육관,0,3
GS칼텍스,2018-10-23,김유리,수원체육관,0,3
GS칼텍스,2018-10-23,문명화,수원체육관,0,3
GS칼텍스,2018-10-23,안혜진,수원체육관,0,3
GS칼텍스,2018-10-23,나현정,수원체육관,0,3
GS칼텍스,2018-10-23,한다혜,수원체육관,0,3
현대건설,2018-10-23,베키,수원체육관,0,2
현대건설,2018-10-23,양효진,수원체육관,0,2
현대건설,2018-10-23,김주향,수원체육관,0,2
현대건설,2018-10-23,황민경,수원체육관,0,2
현대건설,2018-10-23,정시영,수원체육관,0,2
현대건설,2018-10-23,이다영,수원체육관,0,2
현대건설,2018-10-23,김연견,수원체육관,0,2
흥국생명,2018-10-24,톰시아,수원체육관,0,3
흥국생명,2018-10-24,이재영,수원체육관,0,3
흥국생명,2018-10-24,김세영,수원체육관,0,3
흥국생명,2018-10-24,김미연,수원체육관,0,3
흥국생명,2018-10-24,김채연,수원체육관,0,3
흥국생명,2018-10-24,조송화,수원체육관,0,3
흥국생명,2018-10-24,공윤희,수원체육관,0,3
흥국생명,2018-10-24,김해란,수원체육관,0,3
흥국생명,2018-10-24,신연경,수원체육관,0,3
KGC인삼공사,2018-10-24,알레나,수원체육관,0,2
KGC인삼공사,2018-10-24,최은지,수원체육관,0,2
KGC인삼공사,2018-10-24,한수지,수원체육관,0,2
KGC인삼공사,2018-10-24,한송이,수원체육관,0,2
KGC인삼공사,2018-10-24,채선아,수원체육관,0,2
KGC인삼공사,2018-10-24,이재은,수원체육관,0,2
KGC인삼공사,2018-10-24,오지영,수원체육관,0,2
IBK기업은행,2018-10-25,어나이,수원체육관,0,3
IBK기업은행,2018-10-25,고예림,수원체육관,0,3
IBK기업은행,2018-10-25,김희진,수원체육관,0,3
IBK기업은행,2018-10-25,김수지,수원체육관,0,3
IBK기업은행,2018-10-25,백목화,수원체육관,0,3
IBK기업은행,2018-10-25,이나연,수원체육관,0,3
IBK기업은행,2018-10-25,박상미,수원체육관,0,3
IBK기업은행,2018-10-25,한지현,수원체육관,0,3
현대건설,2018-10-25,황연주,수원체육관,0,2
현대건설,2018-10-25,양효진,수원체육관,0,2
현대건설,2018-10-25,베키,수원체육관,0,2
현대건설,2018-10-25,황민경,수원체육관,0,2
현대건설,2018-10-25,정시영,수원체육관,0,2
현대건설,2018-10-25,이다영,수원체육관,0,2
현대건설,2018-10-25,김연견,수원체육관,0,2
GS칼텍스,2018-10-26,알리,수원체육관,0,3
GS칼텍스,2018-10-26,이소영,수원체육관,0,3
GS칼텍스,2018-10-26,강소휘,수원체육관,0,3
GS칼텍스,2018-10-26,김유리,수원체육관,0,3
GS칼텍스,2018-10-26,문명화,수원체육관,0,3
GS칼텍스,2018-10-26,박민지,수원체육관,0,3
GS칼텍스,2018-10-26,안혜진,수원체육관,0,3
GS칼텍스,2018-10-26,나현정,수원체육관,0,3
흥국생명,2018-10-26,톰시아,수원체육관,0,2
흥국생명,2018-10-26,이재영,수원체육관,0,2
흥국생명,2018-10-26,김세영,수원체육관,0,2
흥국생명,2018-10-26,공윤희,수원체육관,0,2
흥국생명,2018-10-26,김미연,수원체육관,0,2
흥국생명,2018-10-26,김채연,수원체육관,0,2
흥국생명,2018-10-26,조송화,수원체육관,0,2
흥국생명,2018-10-26,김해란,수원체육관,0,2
KGC인삼공사,2018-10-27,알레나,수원체육관,0,3
KGC인삼공사,2018-10-27,최은지,수원체육관,0,3
KGC인삼공사,2018-10-27,한수지,수원체육관,0,3
KGC인삼공사,2018-10-27,채선아,수원체육관,0,3
KGC인삼공사,2018-10-27,유희옥,수원체육관,0,3
KGC인삼공사,2018-10-27,이재은,수원체육관,0,3
KGC인삼공사,2018-10-27,한송이,수원체육관,0,3
KGC인삼공사,2018-10-27,노란,수원체육관,0,3
KGC인삼공사,2018-10-27,오지영,수원체육관,0,3
한국도로공사,2018-10-27,이바나,수원체육관,0,2
한국도로공사,2018-10-27,박정아,수원체육관,0,2
한국도로공사,2018-10-27,정대영,수원체육관,0,2
한국도로공사,2018-10-27,문정원,수원체육관,0,2
한국도로공사,2018-10-27,정선아,수원체육관,0,2
한국도로공사,2018-10-27,이효희,수원체육관,0,2
한국도로공사,2018-10-27,전새얀,수원체육관,0,2
한국도로공사,2018-10-27,하혜진,수원체육관,0,2
한국도로공사,2018-10-27,유서연,수원체육관,0,2
한국도로공사,2018-10-27,임명옥,수원체육관,0,2
흥국생명,2018-10-28,톰시아,수원체육관,0,3
흥국생명,2018-10-28,이재영,수원체육관,0,3
흥국생명,2018-10-28,김미연,수원체육관,0,3
흥국생명,2018-10-28,김세영,수원체육관,0,3
흥국생명,2018-10-28,이주아,수원체육관,0,3
흥국생명,2018-10-28,조송화,수원체육관,0,3
흥국생명,2018-10-28,김해란,수원체육관,0,3
현대건설,2018-10-28,양효진,수원체육관,0,2
현대건설,2018-10-28,황연주,수원체육관,0,2
현대건설,2018-10-28,베키,수원체육관,0,2
현대건설,2018-10-28,정지윤,수원체육관,0,2
현대건설,2018-10-28,황민경,수원체육관,0,2
현대건설,2018-10-28,이다영,수원체육관,0,2
